title,url
Saigo ni Hitotsu dake Onegai Shite mo Yoroshii Deshou ka2025EP12TV,https://otakudesu.fit/series/saigo-ni-hitotsu-dake-onegai-shite-mo-yoroshii-deshou-ka/
Ganso! Bandori-chan2025TV,https://otakudesu.fit/series/ganso-bandori-chan/
Chou Futsuu Mahou Shoujo Asumi Toruverse-TV,https://otakudesu.fit/series/chou-futsuu-mahou-shoujo-asumi-toruverse/
Bukiyou na Senpai.2025EP11TV,https://otakudesu.fit/series/bukiyou-na-senpai/
Taiyou yori mo Mabushii Hoshi2025EP11TV,https://otakudesu.fit/series/taiyou-yori-mo-mabushii-hoshi/
Sylvanian Families: Freya no Wonder Days-TV,https://otakudesu.fit/series/sylvanian-families-freya-no-wonder-days/
"Potion, Wagami wo Tasukeru2025EP11TV",https://otakudesu.fit/series/potion-wagami-wo-tasukeru/
"Watashi wo Tabetai, Hitodenashi2025EP11TV",https://otakudesu.fit/series/watashi-wo-tabetai-hitodenashi/
"Akujiki Reijou to Kyouketsu Koushaku: Sono Mamono, Watashi ga Oishiku Itadakimasu!2025EP11TV",https://otakudesu.fit/series/akujiki-reijou-to-kyouketsu-koushaku-sono-mamono-watashi-ga-oishiku-itadakimasu/
Let’s Play: Quest Darake no My Life2025EP12TV,https://otakudesu.fit/series/lets-play-quest-darake-no-my-life/
MUZIK TIGER In the Forest 22025EP1TV,https://otakudesu.fit/series/muzik-tiger-in-the-forest-2/
Kakuriyo no Yadomeshi 2nd Season2018EP12TV,https://otakudesu.fit/series/kakuriyo-no-yadomeshi-2nd-season/
Yano-kun no Futsuu no Hibi2025EP12TV,https://otakudesu.fit/series/yano-kun-no-futsuu-no-hibi/
Mofa Gongzhu De Xiao Fannao2025EP14TV,https://otakudesu.fit/series/mofa-gongzhu-de-xiao-fannao/
Sozai Saishuka no Isekai Ryokouki2025EP12TV,https://otakudesu.fit/series/sozai-saishuka-no-isekai-ryokouki/
Yasei no Last Boss ga Arawareta!2025EP12TV,https://otakudesu.fit/series/yasei-no-last-boss-ga-arawareta/
Towa no Yuugure2025EP11TV,https://otakudesu.fit/series/towa-no-yuugure/
CompletedMushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga2025EP12TV,https://otakudesu.fit/series/mushoku-no-eiyuu-betsu-ni-skill-nanka-iranakatta-n-da-ga/
Senpai wa Otokonoko Movie: Ame Nochi Hare-EP4TV,https://otakudesu.fit/series/senpai-wa-otokonoko-movie-ame-nochi-hare/
"CompletedMuchuu sa, Kimi ni.2025Ssummer,2025 EP5TV",https://otakudesu.fit/series/muchuu-sa-kimi-ni/
"CompletedKaraoke Iko!2025Ssummer,2025 EP5TV",https://otakudesu.fit/series/karaoke-iko/
CompletedNukitashi THE ANIMATION2025EP11TV,https://otakudesu.fit/series/nukitashi-the-animation/
CompletedUtagoe wa Mille-Feuille2025EP10TV,https://otakudesu.fit/series/utagoe-wa-mille-feuille/
CompletedSAKAMOTO DAYS Part 22025EP11TV,https://otakudesu.fit/series/sakamoto-days-part-2/
Tougen Anki2025EP22TV,https://otakudesu.fit/series/tougen-anki/
Futari Solo Camp2025EP23TV,https://otakudesu.fit/series/futari-solo-camp-2/
Futari Solo Camp2025EP1TV,https://otakudesu.fit/series/futari-solo-camp/
Dr.STONE SCIENCE FUTURE Part 22019EP12TV,https://otakudesu.fit/series/dr-stone-science-future-part-2/
New PANTY & STOCKING with GARTERBELT2025EP1TV,https://otakudesu.fit/series/new-panty-stocking-with-garterbelt/
CompletedKizu darake Seijo yori Houfuku wo Komete2025EP12TV,https://otakudesu.fit/series/kizu-darake-seijo-yori-houfuku-wo-komete/
"CompletedTensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu2024EP12TV",https://otakudesu.fit/series/tensei-shitara-dai-nana-ouji-dattanode-kimamani-majutsu-wo-kiwamemasu-2/
CompletedTate no Yuusha no Nariagari Season 42019EP12TV,https://otakudesu.fit/series/tate-no-yuusha-no-nariagari-season-4/
"CompletedMikadono Sanshimai wa Angai, Choroi.2025EP12TV",https://otakudesu.fit/series/mikadono-sanshimai-wa-angai-choroi/
CompletedTurkey!2025EP12TV,https://otakudesu.fit/series/turkey/
Osomatsu-san 42015EP5TV,https://otakudesu.fit/series/osomatsu-san-4/
CompletedKakkou no Iinazuke Season 22022EP12TV,https://otakudesu.fit/series/kakkou-no-iinazuke-season-2/
"CompletedWatashi ga Koibito ni Nareru Wake Naijan, Murimuri! (※Muri ja Nakatta!?)2025EP12TV",https://otakudesu.fit/series/7011/
CompletedGrand Blue Season 22018EP12TV,https://otakudesu.fit/series/grand-blue-season-2/
Binan Koukou Chikyuu Bouei-bu Haikara!2025EP2TV,https://otakudesu.fit/series/7005/
"CompletedFood Court de, Mata Ashita.2025EP6TV",https://otakudesu.fit/series/food-court-de-mata-ashita/
Shinobanai! Crypto Ninja Sakuya: San no Maki2023EP2TV,https://otakudesu.fit/series/shinobanai-crypto-ninja-sakuya/
CompletedPuniru wa Kawaii Slime 2nd Season2024EP12TV,https://otakudesu.fit/series/puniru-wa-kawaii-slime-2nd-season/
CompletedCity The Animation2025EP13TV,https://otakudesu.fit/series/city-the-animation/
CompletedHotel Inhumans2025EP13TV,https://otakudesu.fit/series/hotel-inhumans/
Gachiakuta2025EP23TV,https://otakudesu.fit/series/gachiakuta/
CompletedGame Center Shoujo to Ibunka Kouryuu2025EP12TV,https://otakudesu.fit/series/cultural-exchange-with-a-game-centre-girl/
CompletedNyaight of the Living Cat2025EP12TV,https://otakudesu.fit/series/nyaight-of-the-living-cat/
CompletedBusamen Gachi Fighter2025EP12TV,https://otakudesu.fit/series/busamen-gachi-fighter/
CompletedRuri no Houseki2025EP13TV,https://otakudesu.fit/series/ruri-no-houseki/
CompletedIsekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku2025EP13TV,https://otakudesu.fit/series/isekai-mokushiroku-mynoghra-hametsu-no-bunmei-de-hajimeru-sekai-seifuku/
CompletedDekin no Mogura2025EP12TV,https://otakudesu.fit/series/dekin-no-mogura/
CompletedJibaku Shounen Hanako-kun 2 Part 22020EP12TV,https://otakudesu.fit/series/jibaku-shounen-hanako-kun-2-part-2/
CompletedAme to Kimi to2025EP12TV,https://otakudesu.fit/series/ame-to-kimi-to/
CompletedBad Girl2025EP12TV,https://otakudesu.fit/series/bad-girl-2/
CompletedHikaru ga Shinda Natsu2025EP12TV,https://otakudesu.fit/series/hikaru-ga-shinda-natsu/
CompletedKaoru Hana wa Rin to Saku2025EP13TV,https://otakudesu.fit/series/kaoru-hana-wa-rin-to-saku/
"CompletedYuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru2025EP12TV",https://otakudesu.fit/series/yuusha-party-wo-tsuihou-sareta-shiromadoushi-s-rank-boukensha-ni-hirowareru-kono-shiromadoushi-ga-kikakugai-sugiru/
CompletedSono Bisque Doll wa Koi wo Suru Season 22022EP12TV,https://otakudesu.fit/series/sono-bisque-doll-wa-koi-wo-suru-season-2/
CompletedFermat no Ryouri2025EP12TV,https://otakudesu.fit/series/fermat-no-ryouri/
CompletedSeishun Buta Yarou wa Santa Claus no Yume wo Minai2018EP13TV,https://otakudesu.fit/series/seishun-buta-yarou-wa-santa-claus-no-yume-wo-minai/
CompletedKizetsu Yuusha to Ansatsu Hime2025EP12TV,https://otakudesu.fit/series/kizetsu-yuusha-to-ansatsu-hime/
Completed9-nine- Shihaisha no Oukan2025EP13TV,https://otakudesu.fit/series/9-nine-shihaisha-no-oukan/
CompletedKaijuu 8-gou 2nd Season2024EP11TV,https://otakudesu.fit/series/kaijuu-8-gou-2nd-season/
CompletedZutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai sareru2025EP12TV,https://otakudesu.fit/series/zutaboro-reijou-wa-ane-no-moto-konyakusha-ni-dekiai-sareru/
Watari-kun no xx ga Houkai Sunzen2025EP24TV,https://otakudesu.fit/series/watari-kun-no-xx-ga-houkai-sunzen/
CompletedSilent Witch: Chinmoku no Majo no Kakushigoto2025EP13TV,https://otakudesu.fit/series/silent-witch-chinmoku-no-majo-no-kakushigoto/
CompletedYofukashi no Uta Season 22022EP12TV,https://otakudesu.fit/series/yofukashi-no-uta-season-2/
CompletedArknights: Rise from Ember2022EP10TV,https://otakudesu.fit/series/arknights-rise-from-ember/
CompletedBusu ni Hanataba wo.2025EP13TV,https://otakudesu.fit/series/busu-ni-hanataba-wo/
CompletedDandadan 2nd Season2024EP12TV,https://otakudesu.fit/series/dandadan-2nd-season/
CompletedMizu Zokusei no Mahou Tsukai2025EP12TV,https://otakudesu.fit/series/mizu-zokusei-no-mahou-tsukai/
CompletedKamitsubaki-shi Kensetsuchuu.2025EP12TV,https://otakudesu.fit/series/kamitsubaki-shi-kensetsuchuu/
CompletedTsuihousha Shokudou e Youkoso!2025EP12TV,https://otakudesu.fit/series/tsuihousha-shokudou-e-youkoso/
CompletedTsuyokute New Saga2025EP12TV,https://otakudesu.fit/series/tsuyokute-new-saga/
CompletedOnmyou Kaiten Re:Birth2025EP12TV,https://otakudesu.fit/series/onmyo-kaiten-reverse/
CompletedJigoku Sensei Nube (2025)2025EP13TV,https://otakudesu.fit/series/jigoku-sensei-nube-2025/
CompletedJidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season2023EP12TV,https://otakudesu.fit/series/jidou-hanbaiki-ni-umarekawatta-ore-wa-meikyuu-wo-samayou-2nd-season/
